City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,Shache,38.4167,77.2406,8.6,89,98,7.14,overcast clouds
361,Tianpeng,30.9866,103.9393,41.47,63,72,2.37,broken clouds
362,Loandjili,-4.7561,11.8578,79.09,83,100,2.51,overcast clouds
363,Diamantino,-14.4086,-56.4461,75.65,86,61,4.23,broken clouds
364,Roald,62.5833,6.1333,44.74,61,20,14.97,few clouds
365,Thabazimbi,-24.5917,27.4116,68.2,37,2,5.57,clear sky
366,Dharchula,29.85,80.5333,43.02,18,0,9.1,clear sky
367,Yangambi,0.8102,24.4336,72.59,61,100,2.53,overcast clouds
368,Berestechko,50.3605,25.1107,39.99,88,100,6.46,overcast clouds
369,Aklavik,68.2191,-135.0107,-5.84,91,97,12.12,overcast clouds
